window_id,rank,raw_variable,component,family,position,condition_score,weight_normalized,weighted_score,share_of_condition_index_percent
7,4,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,60.42456537976571,0.050125313283208,3.0288002696624408,12.91882213436214
7,5,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,54.66858968822029,0.037593984962406,2.055210138654897,8.766142322411858
8,1,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,100.0,0.0476190476190476,4.76190476190476,21.53552209571953
8,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,94.62320756172122,0.0476190476190476,4.505867026748628,20.377601772133023
8,3,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,80.92042446428921,0.0401002506265664,3.2449293018261325,14.675061802490134
8,4,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,64.68830686243103,0.050125313283208,3.24252164723965,14.664173281795463
8,5,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,48.14055494975067,0.037593984962406,1.8097952988628063,8.184726195951756
9,1,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,100.0,0.0476190476190476,4.76190476190476,20.947349242474758
9,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,92.80312912829402,0.0476190476190476,4.419196625156856,19.439795566448563
9,3,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,83.54217623965923,0.0401002506265664,3.350062205099116,14.73673382878752
9,4,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,60.634395631861246,0.050125313283208,3.039318076785024,13.369788014810348
9,5,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,46.04524468602299,0.037593984962406,1.731024236316653,7.6146775373157505
10,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,99.94108111703952,0.0601503759398496,6.011493601024932,12.25660102902718
10,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,9.708862834843638
10,3,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,97.52730764879608,0.0401002506265664,3.9108694796509686,7.973720022010591
10,4,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,90.50453042998348,0.0401002506265664,3.6292543530820423,7.399545868434877
10,5,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,87.01771434666156,0.0401002506265664,3.4894321542520914,7.114467812996567
11,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,100.0,0.0601503759398496,6.01503759398496,12.16418185746776
11,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,9.629977303828642
11,3,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,8.109454571645172
11,4,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,94.15516974584952,0.0401002506265664,3.775645904595468,7.635470717395066
11,5,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,75.22031495146655,0.050125313283208,3.770441852203836,7.624946587047003
12,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,100.0,0.0601503759398496,6.01503759398496,11.511052948522094
12,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,99.98298106682148,0.0476190476190476,4.761094336515307,9.111365996339174
12,3,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,80.51386383521604,0.050125313283208,4.035782648381756,7.723327914143918
12,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,7.674035299014728
12,5,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,92.75051722498168,0.0401002506265664,3.719318986465429,7.11770743186383
13,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,100.0,0.0601503759398496,6.01503759398496,11.310126247297578
13,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,8.953849945777248
13,3,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,87.78086719716887,0.050125313283208,4.400043468529766,8.273439084143687
13,4,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,100.0,0.0401002506265664,4.01002506265664,7.540084164865051
13,5,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,7.540084164865051
14,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,100.0,0.0601503759398496,6.01503759398496,10.889492216854164
14,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,8.620848005009547
14,3,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,85.31978429679795,0.0476190476190476,4.062846871276092,7.355288922428955
14,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,7.259661477902775
14,5,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,7.259661477902775
15,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,86.99797820300171,0.0601503759398496,5.2329610949173935,10.512988984994765
15,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,9.566639499407383
15,3,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,77.853355458088,0.050125313283208,3.902423832485613,7.839947215649981
15,4,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,92.57544675286157,0.0401002506265664,3.712298616656101,7.457986741736509
15,5,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,74.2783150777606,0.0476190476190476,3.5370626227505038,7.105938629723316
16,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,100.0,0.0601503759398496,6.01503759398496,11.6489443134422
16,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,9.222080914808409
16,3,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,91.13974830429646,0.0476190476190476,4.339988014490306,8.404981334174943
16,4,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,100.0,0.0401002506265664,4.01002506265664,7.765962875628132
16,5,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,99.66349978437962,0.0401002506265664,3.996531319674369,7.739830393806645
17,1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,90.82308723579264,0.0601503759398496,5.463042841250682,11.46401266598815
17,2,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,9.992697859240614
17,3,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,100.0,0.0401002506265664,4.01002506265664,8.414903460413148
