Batch,n_windows,condition_index_mean,condition_index_median,condition_index_p05,condition_index_p95,condition_index_min,condition_index_max
CASTILLA,619,20.779234045657734,21.56419311250533,15.008239139610266,25.64971715840858,7.679661931091593,27.58773617044935
MEZCLA,508,30.446017008031813,32.87913415367183,11.558008268477227,36.48555312950349,7.109006655776158,38.901377839923946
RUBIALES,339,28.624178377986045,27.773277849798188,24.170271231964914,34.248112388428446,22.568350963147605,36.86765623324964
