Batch,PC1_centroid,PC2_centroid,n_windows
CASTILLA,-5.864197815908525,-0.1437238091573854,613
MEZCLA,4.903522861630188,1.4741810859932702,504
RUBIALES,3.363406403863204,-1.96073225247644,334
