Batch,n_windows,condition_index_mean,condition_index_median,condition_index_p05,condition_index_p95,condition_index_min,condition_index_max,assessment_method
CASTILLA,619,18.022478094541423,18.90537702411112,8.850176075262986,25.125962954303112,3.913069768853421,30.84935629310051,data_driven_global_percentile_thresholds
MEZCLA,508,35.50027107907303,37.62523337383871,8.238926795932295,49.05012230721699,1.9804199660576487,56.13194749400216,data_driven_global_percentile_thresholds
RUBIALES,339,27.43744441431153,24.540472001372816,18.13246958222581,40.7699165656726,15.05413240969475,47.4585493013774,data_driven_global_percentile_thresholds
