model_name,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,recall_macro_mean,mcc_mean,cohen_kappa_mean
logistic_regression,0.9304031582603012,0.0616247559439208,0.9260261151519698,0.0661433393688602,0.9275289016748676,0.0581890527012836,0.9429126309479334,0.9260261151519698,0.8986155561177336,0.8911211953862608
random_forest,0.931432499289642,0.087673069958359,0.9273733633204048,0.0991500843234951,0.9284300971383732,0.0905749844810396,0.9432907638931514,0.9273733633204048,0.8993939643609231,0.8920204858752043
soft_voting_ensemble,0.9368746761603906,0.0741177849936495,0.9342236986705292,0.0823975755809233,0.9352471391437952,0.0743707697222577,0.9486992416191052,0.9342236986705292,0.9079331875051556,0.901031330345152
svm_rbf,0.932799914942772,0.0828885310403353,0.928518327617754,0.0936499013464512,0.9299428627698716,0.0851090243940535,0.9448155190978944,0.928518327617754,0.9015088020006832,0.8943358992394554
xgboost,0.937554948269234,0.0726579437952273,0.9345908484289832,0.0815993466129653,0.935742837859186,0.0733184558199753,0.9485408518959416,0.9345908484289832,0.908528636499934,0.902134311443481
