PC1,PC2,Batch
0.5742274774336701,-3.730087621830173,RUBIALES
0.839436993239326,-4.148609258817293,RUBIALES
0.619484897476602,-3.43769708723418,RUBIALES
0.3909743789411041,-3.3296754128410253,RUBIALES
0.9380451561226096,-3.1409858573907483,RUBIALES
0.9146551832812668,-2.8191495795582004,RUBIALES
0.813677128971853,-3.141434696771868,RUBIALES
0.2911298262480015,-3.04764746682148,RUBIALES
0.2741570501178598,-3.176217434711774,RUBIALES
0.7131237834042733,-3.077476459104042,CASTILLA
-0.0114198140831958,-2.541794977403479,CASTILLA
0.6896095264663828,-2.5106990427210327,CASTILLA
-0.6123652072197441,-2.6329448221891334,CASTILLA
0.5094587518600212,-1.8556064234591465,CASTILLA
-0.1536733523585741,-2.745402480092638,CASTILLA
0.0801628112237844,-2.72497753594967,CASTILLA
0.2521680161453175,-2.9168726391291284,CASTILLA
-0.1582974876878256,-2.393665130854721,CASTILLA
-0.3908383475355154,-2.577701365550923,CASTILLA
-0.5433020632906164,-2.599863020766646,CASTILLA
-0.3625350488299146,-2.7204870750092147,CASTILLA
-0.1045126874281724,-3.0135365770596985,CASTILLA
-0.6474682563247244,-2.5477560946784434,CASTILLA
-0.4587710343716296,-1.9819016041254045,CASTILLA
-0.9695509204832043,-2.586152661142183,CASTILLA
-0.7164767898937952,-1.7109480025229973,CASTILLA
-0.5409249981010967,-1.640764019415614,CASTILLA
-0.8099277925991492,-2.2507161435728547,CASTILLA
-0.7257627124867477,-2.283627811818004,CASTILLA
-0.871975718717844,-2.3967292294189417,CASTILLA
-1.0301784015713586,-1.613426472673794,CASTILLA
-0.5888697216378473,-1.5949604671257864,CASTILLA
-1.1972403486653314,-1.5905875207375246,CASTILLA
-1.5766591217081378,-1.2307674530894344,CASTILLA
-0.9615866456545382,-1.981720596920352,CASTILLA
-1.7928312808440094,-1.9749023757999795,CASTILLA
-1.3284127347471213,-1.924548363208016,CASTILLA
-1.563537436209122,-1.56634460165575,CASTILLA
-0.9071019544844672,-1.0659974086336028,CASTILLA
-0.7575592399642852,-1.2413137396995035,CASTILLA
-0.9806664002237132,-1.0925377375567429,CASTILLA
-0.6494375617347514,-1.0984363433265405,CASTILLA
-1.6192165966594292,-1.6709446993639705,CASTILLA
-0.9907898247239304,-1.9367612528390503,CASTILLA
-1.642652553533658,-1.7278288203626615,CASTILLA
-1.952040390297625,-0.7350138385708124,CASTILLA
-2.1803308869267086,-1.2471427357525582,CASTILLA
-1.9394720833063013,-1.839378013121712,CASTILLA
-2.245412680474624,-1.0163754221949397,CASTILLA
-2.170472957944244,-1.4551891195770663,CASTILLA
-2.710319204838617,-1.044333385167193,CASTILLA
-2.0546640192706613,-0.6493997450407528,CASTILLA
-2.169045168801044,-1.0437060961103994,CASTILLA
-2.638643563379959,-2.1172892146577413,CASTILLA
-2.4076558050104744,-1.1649664106135909,CASTILLA
-2.4608140926982456,-0.0924858151026146,CASTILLA
-2.6141421098430944,-0.6697888297507874,CASTILLA
-2.5038155297308045,-0.8935571650273844,CASTILLA
-2.895913240056462,-1.75611170479083,CASTILLA
-2.358202823163474,-0.3220928186686307,CASTILLA
-2.8603293454135934,-0.7721273772419871,CASTILLA
-3.4747472265687964,-0.5741646148503695,CASTILLA
-3.370475508060913,-0.788835492194898,CASTILLA
-2.435984394339552,-0.4644389377130647,CASTILLA
-2.4669747281438488,0.0892367864238236,CASTILLA
-3.0918476110210094,-0.5467240649079973,CASTILLA
-2.859640240329396,-0.3801059703848931,CASTILLA
-2.9374297280192523,-0.2588328394025241,CASTILLA
-3.3661960322665414,-0.0190582683113765,CASTILLA
-3.2932214351984697,0.0939642796015196,CASTILLA
-3.018629859141736,-0.1234615913406526,CASTILLA
-3.3744475619700447,-0.0639799249648584,CASTILLA
-3.345899372870028,0.1322095685313123,CASTILLA
-2.425847417501313,1.1953091807534837,CASTILLA
-3.065676279023022,0.5374485712359865,CASTILLA
-2.98810062826557,0.9977348018634534,CASTILLA
-3.3490392528743675,0.2931550268404895,CASTILLA
-3.195579725917051,-0.1170366923703267,CASTILLA
-3.982975241337392,0.3791936408154148,CASTILLA
-4.080168596593849,-0.6123381807530399,CASTILLA
-3.709960052736892,-0.0664252239113301,CASTILLA
-4.578298519332563,0.8949369600633963,CASTILLA
-5.392802050897475,0.4319561451491957,CASTILLA
-4.985522711994255,-0.4876897748021031,CASTILLA
-5.339358226035419,-0.4689827884354538,CASTILLA
-4.969449745944448,-0.5865846852446195,CASTILLA
-4.254968968215943,0.4410063885803623,CASTILLA
-4.5129835969291126,0.1212699838144896,CASTILLA
-5.093745084119838,0.4013552419855087,CASTILLA
-5.182324899831364,0.3969692133107801,CASTILLA
-4.728735061099703,0.176652524933314,CASTILLA
-5.023730429439955,-0.0421098763503148,CASTILLA
-5.112802254979469,1.1258606560728217,CASTILLA
-5.1580822129245405,-0.0211310729951902,CASTILLA
-5.735679610875643,-0.1414060091149901,CASTILLA
-4.825217579504262,0.5321615196339976,CASTILLA
-5.50286073419795,0.2524526842739284,CASTILLA
-5.386206926233597,0.5925735841158535,CASTILLA
-5.136692497350747,0.987945772912407,CASTILLA
-4.306317268594996,1.3106050870898354,CASTILLA
-5.355850465139265,0.6790323952802105,CASTILLA
-5.017841646579142,0.5499393245685884,CASTILLA
-5.25514510248549,0.5633375831747728,CASTILLA
-5.393553724746121,0.5045342161511195,CASTILLA
-5.741644102131888,0.6459666024545001,CASTILLA
-6.003317499063953,0.5719880278629542,CASTILLA
-6.411305653309546,-0.6347701018947459,CASTILLA
-5.943825760129767,0.3136595337209147,CASTILLA
-5.972918212514617,0.2569575306372025,CASTILLA
-5.742589512570556,0.165195395578161,CASTILLA
-5.777725470333143,0.507199199739649,CASTILLA
-5.486662039108808,0.4784932982859651,CASTILLA
-6.724032649020135,0.702029519764211,CASTILLA
-7.174593160546287,0.0299463452343613,CASTILLA
-7.395086705283756,-0.1444274342214477,CASTILLA
-7.421803653340571,-0.2756431468110517,CASTILLA
-7.458607104519095,0.7508727738875702,CASTILLA
-7.632221744956282,0.0905690836716618,CASTILLA
-7.344514747268085,0.5222283438021493,CASTILLA
-7.29743661477417,0.4075785544117758,CASTILLA
-7.672101752328371,0.4898447155752783,CASTILLA
-7.945518185634104,-0.5622312768498223,CASTILLA
-8.006942260982251,0.089302537552765,CASTILLA
-7.852315088766131,0.6016573107161103,CASTILLA
-8.213150469659334,0.2445076558711525,CASTILLA
-7.980237067140441,0.1971460713357248,CASTILLA
-8.120409984862988,0.3668777563790821,CASTILLA
-8.445218263091107,0.1860960732036663,CASTILLA
-7.679623059254255,1.0311806757607918,CASTILLA
-8.030437473027611,0.7653647292373579,CASTILLA
-7.25012142576935,2.241100520362103,CASTILLA
-8.27979027852622,0.2481250807117358,CASTILLA
-8.159937569338396,0.1230622089703832,CASTILLA
-7.587383549856416,0.5244569399635727,CASTILLA
-7.580675814216546,0.6461888353192535,CASTILLA
-8.20329625082606,0.391181628525434,CASTILLA
-7.960075239136999,0.4514828181585589,CASTILLA
-8.107268858952636,0.0457080419699783,CASTILLA
-8.150705193451563,0.4067115698172103,CASTILLA
-8.541574125697602,0.9317379252668724,CASTILLA
-8.07217900935462,1.2399575346082743,CASTILLA
-8.214994264224506,-0.668741180900454,CASTILLA
-9.30280703379836,0.78569450598898,CASTILLA
-8.529022347803508,0.6536378961738447,CASTILLA
-9.20156277818924,0.8669211681604283,CASTILLA
-8.49921639743485,0.4679950041433524,CASTILLA
-9.502219038972486,0.4292618881367152,CASTILLA
-8.640533814834892,1.224205942365525,CASTILLA
-8.365481209410154,1.2366964769526676,CASTILLA
-8.821390844745013,1.4960291055751591,CASTILLA
-8.916798314143037,1.5512257367621944,CASTILLA
-9.41145265476212,1.4300017334217836,CASTILLA
-9.067033553288008,0.375682184358608,CASTILLA
-9.315757627958297,0.6976907464264984,CASTILLA
-9.260071414374131,1.4557638539688842,CASTILLA
-9.530707018275368,1.0923905167981696,CASTILLA
-9.183364636303942,2.056625598628706,CASTILLA
-8.897895059050887,2.0097341063323464,CASTILLA
-9.129408333836778,1.6129302958673413,CASTILLA
-9.829713863441974,1.5141300359753789,CASTILLA
-10.434044987221183,1.4869821348402346,CASTILLA
-10.161505191135486,2.1757323304938745,CASTILLA
-10.212673608181886,1.897258842146781,CASTILLA
-10.464932171763094,1.89553608427035,CASTILLA
-10.269704719820073,2.0951122254092684,CASTILLA
-10.188901549829485,1.896576012204272,CASTILLA
-10.420906639023071,1.071240812143765,CASTILLA
-10.253265123716066,1.9185241300019864,CASTILLA
-10.556783560538287,1.4704273167475117,CASTILLA
-9.708652532002892,1.127568208288059,CASTILLA
-10.225541853763556,1.0921427808381152,CASTILLA
-9.864428559211774,1.3287795504251771,CASTILLA
-10.07303171734291,2.3223807240174645,CASTILLA
-9.97378268499688,1.8236421741394837,CASTILLA
-9.505557619515296,2.1343349701190664,CASTILLA
-9.627902160268375,2.1086578136895997,CASTILLA
-10.062509695469243,1.7594837535914272,CASTILLA
-10.140413085417224,1.278894485092979,CASTILLA
-9.79451358965176,1.6910279735455735,CASTILLA
-10.529147833272104,1.3466906718805156,CASTILLA
-9.645911538398725,2.2586937371253124,CASTILLA
-10.0616700149766,1.5141834263727445,CASTILLA
-9.472950421517158,1.625469116139669,CASTILLA
-8.918364242874949,2.08465511750649,CASTILLA
-10.236596725633405,1.2982146226850135,CASTILLA
-9.649749655886724,1.6312147985797354,CASTILLA
-10.329040353791903,1.4624532435202393,CASTILLA
-9.889636473669167,1.080057044847509,CASTILLA
-9.706231286794502,1.700482300078365,CASTILLA
-10.366063587427028,1.3050228913819792,CASTILLA
-10.253273831501444,2.1447195113476973,CASTILLA
-11.265139321062955,0.4104442147446662,CASTILLA
-9.85633973334727,1.999919594537172,CASTILLA
-9.953165836401112,2.051235201594674,CASTILLA
-9.79111560100388,1.921640353960836,CASTILLA
-9.779986237059436,2.516131732454238,CASTILLA
-10.156921692765952,2.5764650488324,CASTILLA
-9.885750509333,2.562192385342903,CASTILLA
-9.838118393421148,3.2371544189582004,CASTILLA
-10.817426014310682,1.751106393038827,CASTILLA
-10.39530897763647,1.7860921936225924,CASTILLA
-9.945996412164908,2.2912440014952358,CASTILLA
-9.610040728493596,2.5098722248256338,CASTILLA
-10.286483745436128,1.585068980288863,CASTILLA
-10.770085558648578,1.2474160643801069,CASTILLA
-10.365864092436205,2.610839195214527,CASTILLA
-10.125629007919654,3.2076950382384144,CASTILLA
-10.324736954958894,3.4987006092825106,CASTILLA
-10.179332899014229,3.461537236896066,CASTILLA
-9.752703128753875,3.585893617921286,CASTILLA
-10.480321949779412,3.114599547050186,CASTILLA
-10.907185174255108,3.016769241565297,CASTILLA
-11.123660999903487,1.943755091142639,CASTILLA
-11.361323506110104,2.5163493780861232,CASTILLA
-10.714356965489769,3.1863798664362246,CASTILLA
-10.276575472836145,3.4534968070057674,CASTILLA
-11.087717117318226,3.3022810456689293,CASTILLA
-10.955510930126072,2.884865375853863,CASTILLA
-10.69429519567154,2.734272056858224,CASTILLA
-11.207687381929407,3.167795294657997,CASTILLA
-10.707712389219736,2.774059357203927,CASTILLA
-10.5485645785461,3.035609000832435,CASTILLA
-10.609622750109144,3.207831441109878,CASTILLA
-10.705584740857796,3.198379509900507,CASTILLA
-11.24379849531584,2.971624429686539,CASTILLA
-10.666664382552549,2.905077144401761,CASTILLA
-10.704810331999804,2.9787871693426253,CASTILLA
-11.107148687944624,1.6890091447138045,CASTILLA
-10.81670924783474,2.487766374757639,CASTILLA
-10.300092740210026,2.876718792213604,CASTILLA
-10.464576533807229,1.726331895185746,CASTILLA
-10.860564085274394,3.0051152172050344,CASTILLA
-10.65341137135838,2.4284193489086885,CASTILLA
-9.98172927933068,1.461221332022682,CASTILLA
-9.735564449466493,2.151784812268377,CASTILLA
-10.467125658488571,2.5487162951561864,CASTILLA
-10.681985702379556,2.2705533582956874,CASTILLA
-9.827561935095437,2.030372758362316,CASTILLA
-11.044680676917894,2.0575038544373,CASTILLA
-10.519257435081428,1.668672173800345,CASTILLA
-9.941729282846342,2.3312209135508897,CASTILLA
-10.342930361630795,1.7042676210647036,CASTILLA
-10.218768058738728,1.6076561615857674,CASTILLA
-10.330134904396528,1.6305995694062627,CASTILLA
-10.775047798095065,1.9475891411822128,CASTILLA
-10.32753660260384,2.582748695139318,CASTILLA
-10.6261391098891,2.318066193262025,CASTILLA
-10.397467425175268,0.9245868553164162,CASTILLA
-10.690843826936742,1.3646829231038236,CASTILLA
-10.478375323865714,1.8027255642240776,CASTILLA
-10.33893153424536,1.274159721639683,CASTILLA
-11.222561160748713,1.367823496685618,CASTILLA
-10.303250610061935,1.4573119032494646,CASTILLA
-10.471604443913368,1.0414908569584862,CASTILLA
-10.624998877854964,0.2916564167423181,CASTILLA
-10.355494398515606,0.9155229126652934,CASTILLA
-9.69438848990957,1.0817793043149777,CASTILLA
-9.988933060158772,1.6247577148944097,CASTILLA
-10.583079972046471,1.2461346787133405,CASTILLA
-10.88521368579701,0.3559775032288914,CASTILLA
-10.25829662915719,1.3664189625719088,CASTILLA
-10.627899565644622,1.826307991468888,CASTILLA
-10.308417265010208,0.7854215876748848,CASTILLA
-9.313091997560042,0.8074041279947773,CASTILLA
-10.40565675680218,1.5032848027863843,CASTILLA
-10.36875929236112,0.7594172007189698,CASTILLA
-9.84109651973163,2.0667089841122137,CASTILLA
-10.591669787755569,1.33868724370477,CASTILLA
-9.591053600856675,2.1779080165633107,CASTILLA
-9.691689204168378,0.3915787763066914,CASTILLA
-10.789591484660043,1.1745144729719097,CASTILLA
-10.341487744257533,-0.0661486989051712,CASTILLA
-9.888353095442538,1.7815182480778553,CASTILLA
-8.862050838907953,0.6841254698543472,CASTILLA
-10.743539380415276,2.922690722602993,CASTILLA
-10.334144269265376,2.929657760047101,CASTILLA
-10.397755875252294,1.3610224133610465,CASTILLA
-8.924901984906272,-0.4803742993869832,CASTILLA
-9.448658087954078,0.0758676088710011,CASTILLA
-10.39090340099552,1.3186635922525114,CASTILLA
-10.052326905161278,0.3289404857041634,CASTILLA
-10.395687516239052,2.8543281152018456,CASTILLA
-9.3533114049371,0.2946202873713111,CASTILLA
-10.043827399409048,0.7599502549773697,CASTILLA
-9.692225280021267,1.5623534149530318,CASTILLA
-9.592239661623722,0.3962529327620678,CASTILLA
-10.81004242774996,1.7961329921562337,CASTILLA
-10.401423913459825,1.0736044839806578,CASTILLA
-10.304343533166412,0.1432940437097067,CASTILLA
-9.935325574636495,2.534227822123522,CASTILLA
-9.365225657391353,1.1099496559379705,CASTILLA
-11.07461982878209,-0.5775648165172151,CASTILLA
-9.872920682404548,-0.1910005204417929,CASTILLA
-9.742003793956098,-0.4098844172851015,CASTILLA
-9.451822613301273,0.3130736502177367,CASTILLA
-10.055111414480976,-0.6075299237863047,CASTILLA
-10.034136743500577,-1.42661113919965,CASTILLA
-9.10091150971717,-0.8018134198792783,CASTILLA
-9.056014251127433,0.2150524174040248,CASTILLA
-8.856729108788542,-0.1959861731249318,CASTILLA
-8.895748541026537,-0.9213221243200668,CASTILLA
-9.15904003311944,-0.1670552773857703,CASTILLA
-9.327843334211993,-3.825065350153796,CASTILLA
-8.473587482444644,-4.221333108076452,CASTILLA
-9.946985260239256,-4.458802388565213,CASTILLA
-9.745750709991636,-3.9362344616402303,CASTILLA
-8.563791205918745,-3.530128468806416,CASTILLA
-9.792897257449852,-4.257399762555335,CASTILLA
-9.078312399457385,-4.229053872127944,CASTILLA
-9.27736046893498,-4.700831701018515,CASTILLA
-9.235635631766852,-4.289928131731867,CASTILLA
-9.58559432011963,-3.5772744142587407,MEZCLA
-8.401864330997642,-3.1715228600851906,MEZCLA
-8.821865419299739,-4.11266874935346,MEZCLA
-8.992175095050134,-4.164510885457807,MEZCLA
-9.594292546209694,-5.122023412326881,MEZCLA
-8.92311502172523,-3.9345725938636127,MEZCLA
-8.932207834668423,-4.3260142539526445,MEZCLA
-8.783306555749522,-3.740811076726634,MEZCLA
-9.674456689533212,-2.699096000352553,MEZCLA
-10.175248568244456,-4.053183637549829,MEZCLA
-9.717504858530354,-2.2322444399936603,MEZCLA
-10.025238231716385,-3.0776607861305547,MEZCLA
-10.249319399071933,-1.1971837730899144,MEZCLA
-10.117589211517954,-2.2375754901629974,MEZCLA
-10.228209729686938,-2.7278879984311666,MEZCLA
-9.877264194430838,-1.7532338979990336,MEZCLA
-10.145209848102182,-4.431280489816797,MEZCLA
-10.230857163876047,-2.9008738663045817,MEZCLA
-10.445188079041142,-2.169508461409356,MEZCLA
-9.608420545654052,-2.8481833746096075,MEZCLA
-9.655439376157211,-1.0780078658755448,MEZCLA
-10.3326596366292,-1.074020175737257,MEZCLA
-10.313734745096554,-0.6334840181953876,MEZCLA
-10.41997172581106,-1.6337672099523457,MEZCLA
-10.975276368579104,-0.0037880666067656,MEZCLA
-10.835273212391671,-0.2672619085917027,MEZCLA
-11.709081889763052,1.703234734359547,MEZCLA
