Batch,weight_id,weight_variable,matched_raw_column,component,family,position,unit,value_stat,orientation,v0_estimated,h_estimated,hh_estimated,min_value,p01,p05,median_value,p95,p99,max_value,n_windows,threshold_method,threshold_warning
CASTILLA,15.0,Aceleración RMS — LA Bomba Horizontal [g],LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.416098883005,0.5797293879916667,0.5855204609176666,0.3932426064333333,0.3982669356736666,0.416098883005,0.54082654485,0.5797293879916667,0.5855204609176666,0.5896931467000001,619,batch_percentile_p05_p95_p99,
CASTILLA,16.0,Velocidad RMS — LA Bomba Horizontal [mm/s],LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,la,mm/s,mean,cost,1.4330106782166667,2.1486078226500003,2.17728929443,1.3311838633333333,1.3574273004700002,1.4330106782166667,1.9666300826666665,2.1486078226500003,2.17728929443,2.1933508616666666,619,batch_percentile_p05_p95_p99,
CASTILLA,17.0,Aceleración RMS — LM Variador Horizontal [g],LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],variador,acceleration_rms,lm,g,mean,cost,0.8161475141733334,2.1652602616500003,2.1803153679066662,0.80697559935,0.8101747982990001,0.8161475141733334,1.0870162438333333,2.1652602616500003,2.1803153679066662,2.197933418,619,batch_percentile_p05_p95_p99,
CASTILLA,18.0,Velocidad RMS — LM Variador Horizontal [mm/s],LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],variador,velocity_rms,lm,mm/s,mean,cost,0.9976936650583332,1.10257452432,1.1181261268533336,0.97847533825,0.9877104358343334,0.9976936650583332,1.0527835625333333,1.10257452432,1.1181261268533336,1.1295942933333334,619,batch_percentile_p05_p95_p99,
CASTILLA,19.0,Aceleración RMS — LB Variador Horizontal [g],LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g],variador,acceleration_rms,lb,g,mean,cost,0.8401719266200001,1.2270405222166667,1.27413126716,0.8102163606333334,0.8157311264316667,0.8401719266200001,1.1666308993333334,1.2270405222166667,1.27413126716,1.284989458,619,batch_percentile_p05_p95_p99,
CASTILLA,20.0,Velocidad RMS — LB Variador Horizontal [mm/s],LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],variador,velocity_rms,lb,mm/s,mean,cost,0.9969190880816668,1.0445571185316669,1.0565185520826668,0.9859762002833332,0.9919059683973332,0.9969190880816668,1.0143054642,1.0445571185316669,1.0565185520826668,1.0629585486833333,619,batch_percentile_p05_p95_p99,
CASTILLA,21.0,Aceleración RMS — LL Motor Horizontal [g],LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],motor,acceleration_rms,ll,g,mean,cost,0.9444620547583332,1.1853087446666668,1.22176940518,0.9161971996833334,0.9283524975063332,0.9444620547583332,1.0147491521166667,1.1853087446666668,1.22176940518,1.2330849236666666,619,batch_percentile_p05_p95_p99,
CASTILLA,22.0,Velocidad RMS — LL Motor Horizontal [mm/s],LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,ll,mm/s,mean,cost,1.3381889362166668,1.46067386595,1.46681137892,1.3288463053333333,1.3314900832899998,1.3381889362166668,1.3733114463333334,1.46067386595,1.46681137892,1.4710402793333337,619,batch_percentile_p05_p95_p99,
CASTILLA,23.0,Aceleración RMS — LL Bomba Horizontal [g],LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,g,mean,cost,0.4528166784066666,0.5030814671233333,0.5112580811183334,0.4361008974666667,0.441326489344,0.4528166784066666,0.4762871895833333,0.5030814671233333,0.5112580811183334,0.5134670709833333,619,batch_percentile_p05_p95_p99,
CASTILLA,24.0,Velocidad RMS — LL Bomba Horizontal [mm/s],LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,mm/s,mean,cost,1.4087109107666664,1.634259843533333,1.65828213114,1.3323525031666668,1.3544119599066669,1.4087109107666664,1.5181279696666663,1.634259843533333,1.65828213114,1.6698040328333332,619,batch_percentile_p05_p95_p99,
