consolidated_rank,feature,raw_variable,statistic,family,component,position,unit,perm_importance_mean,shap_importance_mean_abs,consolidated_score
77,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g]__iqr,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],iqr,acceleration_rms,bomba,ll,g,0.0,0.005178184,0.6680672268907564
78,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g]__median,LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],median,acceleration_rms,motor,la,g,0.0,0.0043651536,0.6638655462184874
79,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm]__median,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],median,displacement_pp,bomba,la,um,0.0,0.003949959,0.6596638655462185
80,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm]__p95,LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],p95,displacement_pp,bomba,ll,um,0.0,0.0038270617,0.6554621848739496
81,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm]__iqr,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],iqr,displacement_pp,bomba,la,um,0.0,0.003633198,0.6512605042016806
82,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm]__p95,LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],p95,displacement_pp,bomba,la,um,0.0,0.003521243,0.6470588235294117
83,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s]__median,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],median,velocity_rms,variador,lb,mm/s,0.0,0.0034884072,0.6428571428571428
84,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g]__median,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],median,acceleration_rms,motor,ll,g,0.0,0.003469133,0.6386554621848739
85,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s]__iqr,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],iqr,velocity_rms,bomba,ll,mm/s,0.0,0.0032169416,0.634453781512605
86,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm]__p95,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],p95,displacement_pp,motor,la,um,0.0,0.003136458,0.6302521008403361
87,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm]__iqr,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],iqr,displacement_pp,motor,la,um,0.0,0.0029931488,0.6260504201680672
88,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s]__median,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],median,velocity_rms,motor,ll,mm/s,0.0,0.0029674931,0.6218487394957983
89,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s]__p05,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],p05,velocity_rms,variador,lb,mm/s,0.0,0.002704538,0.6176470588235294
90,LA BOMBA\AC LA H BOMBA\Aceleración Rms [g]__mean,LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],mean,acceleration_rms,bomba,la,g,0.0,0.0023146945,0.6134453781512605
91,LA BOMBA\AC LA H BOMBA\Aceleración Rms [g]__median,LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],median,acceleration_rms,bomba,la,g,0.0,0.002275434,0.6092436974789917
92,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s]__mean,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],mean,velocity_rms,variador,lm,mm/s,0.0,0.0020903766,0.6050420168067228
93,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s]__p05,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],p05,velocity_rms,motor,ll,mm/s,0.0,0.0017519895,0.6008403361344538
94,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s]__p05,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],p05,velocity_rms,variador,lm,mm/s,0.0,0.0016137087,0.5966386554621849
95,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm]__median,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],median,displacement_pp,motor,la,um,0.0,0.0014963978,0.592436974789916
96,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g]__iqr,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],iqr,acceleration_rms,motor,ll,g,0.0,0.0014556239,0.588235294117647
97,LA BOMBA\AC LA H BOMBA\Aceleración Rms [g]__p05,LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],p05,acceleration_rms,bomba,la,g,0.0,0.0013517125,0.5840336134453781
98,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s]__p95,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],p95,velocity_rms,motor,la,mm/s,0.0,0.001327796,0.5798319327731092
99,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm]__median,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],median,displacement_pp,motor,la,um,0.0,0.0012679694,0.5756302521008403
100,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm]__p05,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],p05,displacement_pp,motor,la,um,0.0,0.0011467917,0.5714285714285714
101,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s]__iqr,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],iqr,velocity_rms,motor,la,mm/s,0.0,0.0010557397,0.5672268907563025
102,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s]__iqr,LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],iqr,velocity_rms,motor,la,mm/s,0.0,0.0009639061,0.5630252100840336
103,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g]__p95,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],p95,acceleration_rms,variador,lm,g,0.0,0.00093659497,0.5588235294117647
104,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s]__p05,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],p05,velocity_rms,bomba,la,mm/s,0.0,0.0009263405,0.5546218487394958
105,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s]__iqr,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],iqr,velocity_rms,bomba,la,mm/s,0.0,0.00059865345,0.5504201680672269
106,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm]__iqr,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],iqr,displacement_pp,bomba,la,um,0.0,0.0005672671,0.546218487394958
107,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s]__iqr,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],iqr,velocity_rms,variador,lm,mm/s,0.0,0.0005145562,0.542016806722689
108,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s]__iqr,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],iqr,velocity_rms,variador,lb,mm/s,0.0,0.0004963845,0.5378151260504201
109,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g]__iqr,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],iqr,acceleration_rms,bomba,la,g,0.0,0.00032999847,0.5336134453781513
110,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm]__p05,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],p05,displacement_pp,motor,ll,um,0.0,0.0002921101,0.5294117647058824
111,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s]__mean,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],mean,velocity_rms,variador,lb,mm/s,0.0,0.00023864531,0.5252100840336134
112,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s]__p95,LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],p95,velocity_rms,variador,lm,mm/s,0.0,0.00016162382,0.5210084033613445
113,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm]__iqr,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],iqr,displacement_pp,bomba,ll,um,0.0,0.0001604264,0.5168067226890756
114,LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s]__median,LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s],median,velocity_rms,bomba,la,mm/s,0.0,4.1716292e-05,0.5126050420168067
115,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s]__p95,LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],p95,velocity_rms,variador,lb,mm/s,0.0,2.819253e-05,0.5084033613445378
116,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm]__mean,LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],mean,displacement_pp,motor,la,um,0.0,0.0,0.5042016806722689
117,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm]__p05,LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],p05,displacement_pp,motor,la,um,0.0,0.0,0.5042016806722689
118,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s]__iqr,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],iqr,velocity_rms,motor,ll,mm/s,0.0,0.0,0.5042016806722689
119,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s]__p95,LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],p95,velocity_rms,motor,ll,mm/s,0.0,0.0,0.5042016806722689
120,LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm]__p05,LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm],p05,displacement_pp,motor,ll,um,0.0,0.0,0.5042016806722689
