component,importance_sum,importance_mean,n_features,share_percent
bomba,38.03361344537815,0.760672268907563,50,42.94932624786487
motor,36.69747899159664,0.7339495798319328,50,41.44050104384134
variador,13.823529411764705,0.6911764705882353,20,15.610172708293792
