statistic,importance_sum,importance_mean,n_features,share_percent
p95,18.907563025210084,0.7878151260504201,24,21.3513000569368
mean,18.58823529411765,0.7745098039215687,24,20.99070032264187
median,17.907563025210084,0.7461484593837535,24,20.222053520592144
p05,17.436974789915965,0.7265406162464986,24,19.690643385841717
iqr,15.714285714285714,0.6547619047619048,24,17.745302713987474
