window_id,window_start,window_end,Batch,has_near_transition,baseline_batch_used,condition_index,condition_index_available_weight,n_variables_used,n_variables_unmatched,assessment_method
38,2025-12-10 19:15:32,2025-12-10 19:16:31,CASTILLA,False,CASTILLA,41.2396817608977,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
39,2025-12-10 19:16:32,2025-12-10 19:17:31,CASTILLA,False,CASTILLA,47.44435876406481,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
40,2025-12-10 19:17:32,2025-12-10 19:18:31,CASTILLA,False,CASTILLA,41.11588109951983,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
41,2025-12-10 19:18:32,2025-12-10 19:19:31,CASTILLA,False,CASTILLA,43.786879106210414,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
42,2025-12-10 19:19:32,2025-12-10 19:20:31,CASTILLA,False,CASTILLA,46.031855477601184,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
43,2025-12-10 19:20:32,2025-12-10 19:21:31,CASTILLA,False,CASTILLA,49.54645277841456,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
44,2025-12-10 19:21:32,2025-12-10 19:22:31,CASTILLA,False,CASTILLA,46.98115648874447,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
45,2025-12-10 19:22:32,2025-12-10 19:23:31,CASTILLA,False,CASTILLA,46.37938064156801,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
46,2025-12-10 19:23:32,2025-12-10 19:24:31,CASTILLA,False,CASTILLA,48.18869909645116,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
47,2025-12-10 19:24:32,2025-12-10 19:25:31,CASTILLA,False,CASTILLA,38.10335082105578,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
48,2025-12-10 19:25:32,2025-12-10 19:26:31,CASTILLA,False,CASTILLA,37.423760644029166,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
49,2025-12-10 19:26:32,2025-12-10 19:27:31,CASTILLA,False,CASTILLA,35.58019689618117,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
50,2025-12-10 19:27:32,2025-12-10 19:28:31,CASTILLA,False,CASTILLA,37.748068940253006,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
51,2025-12-10 19:28:32,2025-12-10 19:29:31,CASTILLA,False,CASTILLA,34.23290404473082,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
52,2025-12-10 19:29:32,2025-12-10 19:30:31,CASTILLA,False,CASTILLA,37.57268948570392,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
53,2025-12-10 19:30:32,2025-12-10 19:31:31,CASTILLA,False,CASTILLA,37.919094630764775,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
54,2025-12-10 19:31:32,2025-12-10 19:32:31,CASTILLA,False,CASTILLA,34.39137222466527,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
55,2025-12-10 19:32:32,2025-12-10 19:33:31,CASTILLA,False,CASTILLA,39.13963294214529,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
56,2025-12-10 19:33:32,2025-12-10 19:34:31,CASTILLA,False,CASTILLA,44.00223990505805,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
57,2025-12-10 19:34:32,2025-12-10 19:35:31,CASTILLA,False,CASTILLA,40.51888884971784,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
58,2025-12-10 19:35:32,2025-12-10 19:36:31,CASTILLA,False,CASTILLA,36.06676809821308,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
