family,importance_sum,importance_mean,n_features,share_percent
acceleration_rms,32.11764705882353,0.8029411764705883,40,36.26874169671664
displacement_pp,28.84453781512605,0.7211134453781513,40,32.57259442019358
velocity_rms,27.59243697478992,0.6898109243697479,40,31.15866388308977
