Batch,n_windows,condition_index_mean,condition_index_median,condition_index_p05,condition_index_p95,condition_index_min,condition_index_max,assessment_method
CASTILLA,619,26.74242562316841,27.189530300840392,9.066218523975278,44.97818212765603,6.714125594836252,55.237080611299874,data_driven_batch_percentile_thresholds
MEZCLA,508,25.825674756135577,24.5773418351992,11.162916918475826,43.43442053115323,6.2226281431408985,49.66924013909082,data_driven_batch_percentile_thresholds
RUBIALES,339,26.70513121584723,23.79699970408358,10.492347303022342,45.82254520140884,4.376891488850963,60.19763067888131,data_driven_batch_percentile_thresholds
