position,importance_sum,importance_mean,n_features,share_percent
la,44.642857142857146,0.7440476190476191,60,50.41279180110078
ll,30.088235294117645,0.7522058823529412,40,33.977035490605424
lm,6.957983193277311,0.6957983193277311,10,7.857278420952742
lb,6.8655462184873945,0.6865546218487395,10,7.75289428734105
