weight_id,weight_variable,matched_raw_column,component,family,position,unit,value_stat,orientation,v0_estimated,h_estimated,hh_estimated,min_value,p01,p05,median_value,p95,p99,max_value,n_windows,threshold_method,threshold_warning
15.0,Aceleración RMS — LA Bomba Horizontal [g],LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.4512577388874999,0.5749658289375,0.5829299193608333,0.3932426064333333,0.4040856777141666,0.4512577388874999,0.5216640796583334,0.5749658289375,0.5829299193608333,0.5896931467000001,1466,global_percentile_p05_p95_p99,
16.0,Velocidad RMS — LA Bomba Horizontal [mm/s],LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,la,mm/s,mean,cost,1.6040166292916669,2.1214516205833336,2.164927045141667,1.3311838633333333,1.3850384085916667,1.6040166292916669,1.9208258624166663,2.1214516205833336,2.164927045141667,2.202045710666667,1466,global_percentile_p05_p95_p99,
17.0,Aceleración RMS — LM Variador Horizontal [g],LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],variador,acceleration_rms,lm,g,mean,cost,0.794898588825,2.131485515833333,2.1763033977249995,0.7876983156333334,0.7907573577508333,0.794898588825,0.854100455125,2.131485515833333,2.1763033977249995,2.197933418,1466,global_percentile_p05_p95_p99,
18.0,Velocidad RMS — LM Variador Horizontal [mm/s],LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],variador,velocity_rms,lm,mm/s,mean,cost,1.005683009258333,1.1053040426249998,1.121285364425,0.97847533825,0.9927663941633336,1.005683009258333,1.0687052299166666,1.1053040426249998,1.121285364425,1.162230906,1466,global_percentile_p05_p95_p99,
19.0,Aceleración RMS — LB Variador Horizontal [g],LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g],variador,acceleration_rms,lb,g,mean,cost,0.8682071592458334,1.238649771625,1.268231927008333,0.6860553678666667,0.8160592487458334,0.8682071592458334,1.1614287031666666,1.238649771625,1.268231927008333,1.284989458,1466,global_percentile_p05_p95_p99,
20.0,Velocidad RMS — LB Variador Horizontal [mm/s],LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],variador,velocity_rms,lb,mm/s,mean,cost,0.9944966920958332,1.0420553193916666,1.0615527257425,0.9835654578833334,0.9897748160758334,0.9944966920958332,1.012368697525,1.0420553193916666,1.0615527257425,1.1171640936666667,1466,global_percentile_p05_p95_p99,
21.0,Aceleración RMS — LL Motor Horizontal [g],LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],motor,acceleration_rms,ll,g,mean,cost,0.9567780925166668,1.2124707155,1.2293028718833332,0.9161971996833334,0.93893949825,0.9567780925166668,1.0641416710833331,1.2124707155,1.2293028718833332,1.244390253666667,1466,global_percentile_p05_p95_p99,
22.0,Velocidad RMS — LL Motor Horizontal [mm/s],LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,ll,mm/s,mean,cost,1.342923067625,1.4931029964166669,1.5012704127749998,1.3284354453333334,1.3329714140583333,1.342923067625,1.4235270195833332,1.4931029964166669,1.5012704127749998,1.5073509808333334,1466,global_percentile_p05_p95_p99,
23.0,Aceleración RMS — LL Bomba Horizontal [g],LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,g,mean,cost,0.4115463893458333,0.4960166944166666,0.5068895247241667,0.3971400217,0.4086475303666666,0.4115463893458333,0.4433228880416666,0.4960166944166666,0.5068895247241667,0.5134670709833333,1466,global_percentile_p05_p95_p99,
24.0,Velocidad RMS — LL Bomba Horizontal [mm/s],LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,mm/s,mean,cost,1.2009430093750002,1.6024796209583334,1.6441835801416669,1.1762758518333334,1.1881808413,1.2009430093750002,1.3777784345,1.6024796209583334,1.6441835801416669,1.6698040328333332,1466,global_percentile_p05_p95_p99,
